"Name"	"File Extension"	"File Type"	"Is Deleted"	"Last Accessed"	"File Created"	"Last Modified"	"Size"	"Address"	"Hash Value"	"Known Status"	"Permissions"	"Full Path"
"index"	""	"r"	""	"2014-08-25 15:35:46 CDT"	"2014-08-25 15:35:46 CDT"	"2014-07-25 12:00:53 CDT"	"524656"	"675"	"9036e8c33735e1f47da40e9d8ee40fc8"	"unknown"	"rrwxrwxrwx"	"/img_InCh05.img/Users/Denise/AppData/Local/Google/Chrome/User Data/Default/Application Cache/Cache/index"
"index-slack"	""	"r"	""	"2014-08-25 15:35:46 CDT"	"2014-08-25 15:35:46 CDT"	"2014-07-25 12:00:53 CDT"	"3728"	"675"	"null"	"unknown"	"rrwxrwxrwx"	"/img_InCh05.img/Users/Denise/AppData/Local/Google/Chrome/User Data/Default/Application Cache/Cache/index-slack"
"Index"	""	"r"	""	"2014-08-25 15:35:45 CDT"	"2014-08-25 15:35:45 CDT"	"2014-08-02 18:56:26 CDT"	"23552"	"665"	"147181ec82c9da41e661e277343ec936"	"unknown"	"rrwxrwxrwx"	"/img_InCh05.img/Users/Denise/AppData/Local/Google/Chrome/User Data/Default/Application Cache/Index"
"Index-slack"	""	"r"	""	"2014-08-25 15:35:45 CDT"	"2014-08-25 15:35:45 CDT"	"2014-08-02 18:56:26 CDT"	"1024"	"665"	"null"	"unknown"	"rrwxrwxrwx"	"/img_InCh05.img/Users/Denise/AppData/Local/Google/Chrome/User Data/Default/Application Cache/Index-slack"
"Index-journal"	""	"r"	""	"2014-08-25 15:35:45 CDT"	"2014-08-25 15:35:45 CDT"	"2014-08-02 18:56:26 CDT"	"10832"	"666"	"d62e9b268c90c4bdb0daeed13e810e31"	"unknown"	"rrwxrwxrwx"	"/img_InCh05.img/Users/Denise/AppData/Local/Google/Chrome/User Data/Default/Application Cache/Index-journal"
"Index-journal-slack"	""	"r"	""	"2014-08-25 15:35:45 CDT"	"2014-08-25 15:35:45 CDT"	"2014-08-02 18:56:26 CDT"	"1456"	"666"	"null"	"unknown"	"rrwxrwxrwx"	"/img_InCh05.img/Users/Denise/AppData/Local/Google/Chrome/User Data/Default/Application Cache/Index-journal-slack"
"Archived History"	""	"r"	""	"2014-08-25 15:35:44 CDT"	"2014-08-25 15:35:44 CDT"	"2014-07-25 11:59:40 CDT"	"57344"	"628"	"1bff9950fb17f252139f9dc9d4353f63"	"unknown"	"rrwxrwxrwx"	"/img_InCh05.img/Users/Denise/AppData/Local/Google/Chrome/User Data/Default/Archived History"
"Archived History-journal"	""	"r"	""	"2014-08-25 15:35:44 CDT"	"2014-08-25 15:35:44 CDT"	"2014-07-25 11:59:40 CDT"	"512"	"629"	"bf619eac0cdf3f68d496ea9344137e8b"	"unknown"	"rrwxrwxrwx"	"/img_InCh05.img/Users/Denise/AppData/Local/Google/Chrome/User Data/Default/Archived History-journal"
"Bookmarks"	""	"r"	""	"2014-08-25 15:35:44 CDT"	"2014-08-25 15:35:44 CDT"	"2014-07-25 20:46:20 CDT"	"1183"	"630"	"f662feaced9e24cca5ed9f44573c7ef3"	"unknown"	"rrwxrwxrwx"	"/img_InCh05.img/Users/Denise/AppData/Local/Google/Chrome/User Data/Default/Bookmarks"
"Bookmarks-slack"	""	"r"	""	"2014-08-25 15:35:44 CDT"	"2014-08-25 15:35:44 CDT"	"2014-07-25 20:46:20 CDT"	"2913"	"630"	"null"	"unknown"	"rrwxrwxrwx"	"/img_InCh05.img/Users/Denise/AppData/Local/Google/Chrome/User Data/Default/Bookmarks-slack"
"Bookmarks.bak"	".bak"	"r"	""	"2014-08-25 15:35:44 CDT"	"2014-08-25 15:35:44 CDT"	"2014-07-25 20:46:20 CDT"	"1183"	"631"	"f662feaced9e24cca5ed9f44573c7ef3"	"unknown"	"rrwxrwxrwx"	"/img_InCh05.img/Users/Denise/AppData/Local/Google/Chrome/User Data/Default/Bookmarks.bak"
"Bookmarks.bak-slack"	".bak-slack"	"r"	""	"2014-08-25 15:35:44 CDT"	"2014-08-25 15:35:44 CDT"	"2014-07-25 20:46:20 CDT"	"2913"	"631"	"null"	"unknown"	"rrwxrwxrwx"	"/img_InCh05.img/Users/Denise/AppData/Local/Google/Chrome/User Data/Default/Bookmarks.bak-slack"
"data_0"	""	"r"	""	"2014-08-25 15:35:46 CDT"	"2014-08-25 15:35:46 CDT"	"2014-08-24 14:21:09 CDT"	"118784"	"677"	"c0e1129be913c6adf334d32fbcd6f6da"	"unknown"	"rrwxrwxrwx"	"/img_InCh05.img/Users/Denise/AppData/Local/Google/Chrome/User Data/Default/Cache/data_0"
"data_1"	""	"r"	""	"2014-08-25 15:35:46 CDT"	"2014-08-25 15:35:46 CDT"	"2014-08-24 14:21:09 CDT"	"2105344"	"678"	"bab8de90007ec99d372dd25d433bc543"	"unknown"	"rrwxrwxrwx"	"/img_InCh05.img/Users/Denise/AppData/Local/Google/Chrome/User Data/Default/Cache/data_1"
"data_2"	""	"r"	""	"2014-08-25 15:35:46 CDT"	"2014-08-25 15:35:46 CDT"	"2014-08-24 14:21:09 CDT"	"6299648"	"679"	"e35d9f7d6b7a08787248be4ad109b285"	"unknown"	"rrwxrwxrwx"	"/img_InCh05.img/Users/Denise/AppData/Local/Google/Chrome/User Data/Default/Cache/data_2"
"data_3"	""	"r"	""	"2014-08-25 15:35:46 CDT"	"2014-08-25 15:35:46 CDT"	"2014-08-24 14:21:09 CDT"	"8396800"	"680"	"bd5a9caeaa251116a2a2ec1ca222f8f3"	"unknown"	"rrwxrwxrwx"	"/img_InCh05.img/Users/Denise/AppData/Local/Google/Chrome/User Data/Default/Cache/data_3"
"f_000001"	""	"r"	""	"2014-08-25 15:35:46 CDT"	"2014-08-25 15:35:46 CDT"	"2014-07-25 11:59:47 CDT"	"29567"	"681"	"b2bfd0cb37efa90ccef6b7782c050bf2"	"unknown"	"rrwxrwxrwx"	"/img_InCh05.img/Users/Denise/AppData/Local/Google/Chrome/User Data/Default/Cache/f_000001"
"f_000001-slack"	""	"r"	""	"2014-08-25 15:35:46 CDT"	"2014-08-25 15:35:46 CDT"	"2014-07-25 11:59:47 CDT"	"3201"	"681"	"null"	"unknown"	"rrwxrwxrwx"	"/img_InCh05.img/Users/Denise/AppData/Local/Google/Chrome/User Data/Default/Cache/f_000001-slack"
"f_000002"	""	"r"	""	"2014-08-25 15:35:46 CDT"	"2014-08-25 15:35:46 CDT"	"2014-07-25 11:59:47 CDT"	"24524"	"682"	"473864dc711bdc20c5c2a4aedaf66db5"	"unknown"	"rrwxrwxrwx"	"/img_InCh05.img/Users/Denise/AppData/Local/Google/Chrome/User Data/Default/Cache/f_000002"
"f_000002-slack"	""	"r"	""	"2014-08-25 15:35:46 CDT"	"2014-08-25 15:35:46 CDT"	"2014-07-25 11:59:47 CDT"	"52"	"682"	"null"	"unknown"	"rrwxrwxrwx"	"/img_InCh05.img/Users/Denise/AppData/Local/Google/Chrome/User Data/Default/Cache/f_000002-slack"
"f_000003"	""	"r"	""	"2014-08-25 15:35:46 CDT"	"2014-08-25 15:35:46 CDT"	"2014-07-25 11:59:48 CDT"	"62033"	"683"	"5cb5fea4c5ae893374607a75d005d0fa"	"unknown"	"rrwxrwxrwx"	"/img_InCh05.img/Users/Denise/AppData/Local/Google/Chrome/User Data/Default/Cache/f_000003"
"f_000003-slack"	""	"r"	""	"2014-08-25 15:35:46 CDT"	"2014-08-25 15:35:46 CDT"	"2014-07-25 11:59:48 CDT"	"3503"	"683"	"null"	"unknown"	"rrwxrwxrwx"	"/img_InCh05.img/Users/Denise/AppData/Local/Google/Chrome/User Data/Default/Cache/f_000003-slack"
"f_000004"	""	"r"	""	"2014-08-25 15:35:46 CDT"	"2014-08-25 15:35:46 CDT"	"2014-07-25 11:59:49 CDT"	"21704"	"684"	"a032a907b90f136788e746d0428a0359"	"unknown"	"rrwxrwxrwx"	"/img_InCh05.img/Users/Denise/AppData/Local/Google/Chrome/User Data/Default/Cache/f_000004"
"f_000004-slack"	""	"r"	""	"2014-08-25 15:35:46 CDT"	"2014-08-25 15:35:46 CDT"	"2014-07-25 11:59:49 CDT"	"2872"	"684"	"null"	"unknown"	"rrwxrwxrwx"	"/img_InCh05.img/Users/Denise/AppData/Local/Google/Chrome/User Data/Default/Cache/f_000004-slack"
"f_000005"	""	"r"	""	"2014-08-25 15:35:46 CDT"	"2014-08-25 15:35:46 CDT"	"2014-07-25 11:59:50 CDT"	"88370"	"685"	"5d4e7ced2abe8f370f3b73e9b086014f"	"unknown"	"rrwxrwxrwx"	"/img_InCh05.img/Users/Denise/AppData/Local/Google/Chrome/User Data/Default/Cache/f_000005"
"f_000005-slack"	""	"r"	""	"2014-08-25 15:35:46 CDT"	"2014-08-25 15:35:46 CDT"	"2014-07-25 11:59:50 CDT"	"1742"	"685"	"null"	"unknown"	"rrwxrwxrwx"	"/img_InCh05.img/Users/Denise/AppData/Local/Google/Chrome/User Data/Default/Cache/f_000005-slack"
"f_000006"	""	"r"	""	"2014-08-25 15:35:46 CDT"	"2014-08-25 15:35:46 CDT"	"2014-07-25 11:59:50 CDT"	"21744"	"686"	"11bbcff6f99be028bf04e2e200299b31"	"unknown"	"rrwxrwxrwx"	"/img_InCh05.img/Users/Denise/AppData/Local/Google/Chrome/User Data/Default/Cache/f_000006"
"f_000006-slack"	""	"r"	""	"2014-08-25 15:35:46 CDT"	"2014-08-25 15:35:46 CDT"	"2014-07-25 11:59:50 CDT"	"2832"	"686"	"null"	"unknown"	"rrwxrwxrwx"	"/img_InCh05.img/Users/Denise/AppData/Local/Google/Chrome/User Data/Default/Cache/f_000006-slack"
"f_000007"	""	"r"	""	"2014-08-25 15:35:46 CDT"	"2014-08-25 15:35:46 CDT"	"2014-07-25 11:59:55 CDT"	"28471"	"687"	"7b1142505690749b7150dfb527002ad9"	"unknown"	"rrwxrwxrwx"	"/img_InCh05.img/Users/Denise/AppData/Local/Google/Chrome/User Data/Default/Cache/f_000007"
"f_000007-slack"	""	"r"	""	"2014-08-25 15:35:46 CDT"	"2014-08-25 15:35:46 CDT"	"2014-07-25 11:59:55 CDT"	"201"	"687"	"null"	"unknown"	"rrwxrwxrwx"	"/img_InCh05.img/Users/Denise/AppData/Local/Google/Chrome/User Data/Default/Cache/f_000007-slack"
